,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance
79,32,admin.,divorced,secondary,0,2017,0,1,cellular,17,jul,1,-1,0,,14:23:10,14:34:36,0
80,30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,,12:20:56,12:22:42,0
81,32,management,single,tertiary,0,9317,0,0,cellular,2,nov,3,-1,0,,14:53:07,14:54:39,0
82,30,admin.,single,secondary,0,330,0,1,cellular,30,jul,5,-1,0,,10:26:29,10:28:24,0
83,19,student,single,secondary,0,329,0,0,cellular,30,apr,1,190,2,success,15:57:27,16:00:16,1
84,33,management,married,secondary,0,333,0,0,cellular,28,aug,6,-1,0,,10:24:10,10:25:30,0
85,27,management,single,secondary,0,843,0,0,cellular,8,jan,1,-1,0,,17:47:51,17:50:58,1
86,34,technician,single,tertiary,0,992,1,0,cellular,5,feb,2,-1,0,,12:08:55,12:10:06,1
87,36,management,single,secondary,0,1511,1,0,cellular,16,nov,1,-1,0,,17:58:39,18:03:09,1
88,28,technician,single,tertiary,0,183,1,1,,28,may,2,-1,0,,12:52:24,12:53:26,0
89,45,blue-collar,divorced,primary,0,104,1,0,,16,may,4,-1,0,,14:49:07,14:52:33,0
90,39,blue-collar,married,secondary,0,462,1,0,cellular,13,may,1,-1,0,,09:10:50,09:20:40,1
91,44,self-employed,single,tertiary,0,1367,1,0,cellular,13,apr,3,146,1,other,15:28:20,15:48:52,1
92,53,self-employed,married,secondary,0,468,1,0,,8,may,5,-1,0,,13:14:28,13:15:57,0
93,30,technician,single,secondary,0,4684,1,0,cellular,30,apr,3,-1,0,,13:41:57,13:46:25,1
94,43,management,married,tertiary,0,1429,1,0,cellular,7,may,1,169,3,success,10:04:09,10:21:19,1
95,38,management,single,secondary,0,399,1,0,cellular,11,aug,4,-1,0,,13:35:18,13:41:25,0
96,55,management,married,tertiary,0,563,1,0,cellular,19,nov,1,-1,0,,14:17:50,14:20:34,0
97,25,services,single,secondary,0,3217,1,0,,28,may,1,-1,0,,17:31:06,17:31:30,0
98,57,entrepreneur,married,,0,975,1,1,cellular,22,jul,4,-1,0,,17:02:32,17:06:28,0
99,44,technician,married,secondary,0,398,1,0,,28,may,5,-1,0,,12:46:17,12:48:37,0
100,36,technician,married,tertiary,0,911,1,1,cellular,25,may,2,21,3,failure,11:01:07,11:03:04,1
101,35,blue-collar,married,primary,0,373,0,0,cellular,17,apr,2,-1,0,,15:19:34,15:25:09,0
102,25,student,single,secondary,0,3713,0,0,cellular,24,may,2,353,3,other,17:41:04,17:46:27,1
103,38,management,married,tertiary,0,613,0,0,cellular,3,feb,1,-1,0,,11:40:24,11:44:23,1
104,37,blue-collar,married,secondary,0,982,1,0,cellular,9,jul,2,-1,0,,13:23:29,13:27:20,0
105,35,entrepreneur,married,secondary,0,2971,0,0,cellular,4,may,4,164,2,failure,09:59:30,10:06:39,1
106,33,technician,married,tertiary,0,525,1,1,cellular,30,jan,1,247,1,failure,14:27:27,14:35:46,0
107,49,technician,married,,0,323,1,0,cellular,18,nov,2,-1,0,,14:20:01,14:20:42,0
108,45,management,married,tertiary,0,385,0,1,cellular,31,jul,16,-1,0,,13:28:34,13:28:46,0
109,62,retired,married,secondary,0,569,0,0,cellular,4,aug,1,1,8,success,17:08:06,17:12:54,1
110,44,blue-collar,married,secondary,0,797,1,0,cellular,17,apr,2,-1,0,,14:17:03,14:21:09,0
111,32,technician,single,tertiary,0,1855,0,0,cellular,15,sep,2,134,1,other,15:12:23,15:14:29,1
112,45,technician,divorced,secondary,0,1738,0,0,cellular,21,nov,1,106,2,failure,10:42:44,10:44:03,0
113,25,admin.,single,tertiary,0,220,0,0,cellular,26,may,1,-1,0,,13:29:01,13:30:09,0
114,38,entrepreneur,married,secondary,0,3249,1,0,,2,jun,1,-1,0,,15:25:20,15:31:44,0
115,39,technician,married,tertiary,0,122,0,0,,20,jun,5,-1,0,,16:47:21,16:48:05,0
116,42,blue-collar,single,secondary,0,1080,1,1,cellular,13,may,3,370,4,failure,15:10:08,15:25:59,1
117,33,admin.,married,secondary,0,1737,0,0,cellular,14,aug,2,106,2,failure,15:22:17,15:26:05,0
118,33,admin.,married,secondary,0,1467,1,0,,20,may,2,-1,0,,09:37:00,09:38:25,0
119,44,blue-collar,single,secondary,0,712,1,1,cellular,6,apr,3,-1,0,,09:10:09,09:22:29,1
120,37,management,married,,0,247,0,0,cellular,9,jul,1,-1,0,,11:12:15,11:18:21,0
121,33,management,married,tertiary,0,812,0,0,cellular,22,dec,1,-1,0,,11:50:08,11:56:44,0
122,35,self-employed,married,tertiary,0,2427,0,0,cellular,12,jul,3,158,7,other,12:36:13,12:39:43,1
123,33,management,single,tertiary,0,224,0,0,cellular,23,jun,2,107,2,success,11:32:38,11:38:20,1
124,56,housemaid,married,,0,1780,0,0,cellular,11,aug,2,-1,0,,16:59:57,17:01:48,0
125,47,technician,married,secondary,0,293,0,0,cellular,3,mar,1,-1,0,,09:53:25,10:01:44,1
126,40,management,married,tertiary,0,4539,0,0,cellular,13,jul,3,439,1,failure,09:35:01,09:39:17,1
127,28,admin.,single,secondary,0,296,1,0,,13,may,1,-1,0,,10:53:36,10:57:14,0
128,59,self-employed,married,primary,0,671,1,0,cellular,15,may,2,332,3,failure,10:52:24,10:53:21,0
129,32,blue-collar,single,secondary,0,400,0,0,cellular,4,may,3,-1,0,,09:15:07,09:19:35,1
130,40,blue-collar,single,secondary,0,1101,1,0,,16,may,1,-1,0,,16:35:53,16:39:27,0
131,52,blue-collar,married,secondary,0,1027,0,0,cellular,23,jul,1,-1,0,,10:22:38,10:23:37,0
132,56,admin.,married,secondary,0,45,0,0,,5,may,1,-1,0,,15:36:36,16:01:03,1
133,58,management,married,tertiary,0,230,1,0,telephone,30,jul,10,-1,0,,17:24:38,17:30:17,0
134,30,blue-collar,married,secondary,0,309,1,0,,7,may,2,-1,0,,13:10:45,13:36:59,1
135,35,technician,single,secondary,0,1183,1,0,cellular,21,nov,3,185,2,failure,16:00:50,16:01:11,0
136,37,blue-collar,married,primary,0,1941,1,0,cellular,20,apr,2,-1,0,,11:13:36,11:16:07,0
137,24,technician,single,secondary,0,409,1,0,,16,may,1,-1,0,,12:40:46,12:55:58,1
138,31,management,single,secondary,0,1090,1,0,cellular,8,may,1,303,1,failure,13:14:31,13:15:21,0
139,34,technician,married,secondary,0,1035,0,0,cellular,25,aug,10,-1,0,,10:21:21,10:44:15,1
140,58,admin.,married,secondary,0,4348,1,0,cellular,23,jun,4,141,1,other,10:51:31,11:04:41,1
141,26,services,single,secondary,0,1347,0,0,telephone,18,jun,6,92,5,other,17:06:49,17:11:29,1
142,78,retired,divorced,secondary,0,631,0,0,telephone,11,aug,1,-1,0,,14:55:08,14:56:43,0
143,35,blue-collar,single,tertiary,0,1830,0,0,cellular,14,oct,2,-1,0,,14:30:58,14:33:44,0
144,39,entrepreneur,married,tertiary,0,0,0,0,cellular,31,jul,3,-1,0,,15:25:23,15:26:33,0
145,42,technician,married,tertiary,0,-378,1,1,cellular,15,may,7,330,2,failure,12:01:55,12:02:06,0
146,33,blue-collar,married,primary,1,2,1,1,cellular,9,jul,1,-1,0,,13:05:32,13:09:19,0
147,42,housemaid,married,primary,0,128,0,0,cellular,6,aug,2,-1,0,,13:49:42,13:57:54,0
148,30,admin.,single,secondary,0,3528,0,0,cellular,4,aug,1,92,2,failure,15:48:47,15:52:57,1
149,44,technician,divorced,secondary,0,275,0,0,cellular,17,nov,1,-1,0,,17:51:05,18:09:02,1
150,37,blue-collar,married,secondary,0,590,1,0,cellular,17,apr,1,343,2,failure,15:35:12,15:35:49,0
151,46,admin.,married,secondary,0,974,0,0,cellular,5,jun,2,80,1,success,13:27:50,13:30:44,1
152,41,admin.,married,secondary,0,549,1,0,cellular,8,may,4,-1,0,,17:26:59,17:32:25,0
153,34,management,married,tertiary,0,589,0,0,cellular,1,sep,1,44,3,other,09:03:02,09:08:02,1
154,45,admin.,married,primary,0,-407,1,1,cellular,29,jan,2,224,18,other,12:05:22,12:13:45,0
155,37,blue-collar,single,secondary,0,3764,0,0,,16,jun,1,-1,0,,16:58:52,17:06:03,0
156,31,self-employed,single,tertiary,0,17924,1,0,cellular,21,nov,3,-1,0,,11:08:49,11:18:57,0
157,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,,14:50:44,14:59:10,0
158,33,management,single,secondary,0,0,0,0,cellular,26,aug,2,-1,0,,14:51:31,14:53:10,0
159,52,management,married,tertiary,0,1453,0,0,telephone,29,jul,21,-1,0,,17:46:00,17:50:14,0
160,34,management,married,tertiary,0,176,0,0,cellular,18,aug,4,-1,0,,14:16:10,14:17:11,0
161,45,blue-collar,married,secondary,0,3092,1,1,cellular,12,may,2,-1,0,,11:53:00,11:56:00,0
162,48,management,married,tertiary,1,0,1,0,cellular,31,jul,4,-1,0,,13:47:46,13:52:27,0
163,30,management,married,tertiary,0,102,1,0,cellular,5,apr,7,426,3,other,16:50:32,16:58:22,1
164,34,management,single,tertiary,0,757,0,0,cellular,18,aug,4,-1,0,,14:08:37,14:09:14,0
165,51,admin.,married,secondary,0,949,0,0,cellular,5,aug,1,-1,0,,14:57:38,15:15:50,1
166,42,blue-collar,divorced,primary,0,301,1,0,cellular,17,jul,2,-1,0,,17:21:10,17:40:45,1
167,59,management,married,primary,0,1727,0,0,telephone,25,may,4,358,2,failure,10:40:15,10:48:35,1
168,32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,other,11:55:36,11:58:37,0
169,32,blue-collar,married,primary,0,1644,0,0,cellular,7,sep,3,102,5,other,09:24:06,09:32:18,1
170,35,management,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,,09:23:59,09:35:38,1
171,35,unemployed,married,secondary,0,978,0,0,cellular,29,dec,3,209,3,success,12:04:17,12:27:07,1
172,48,management,divorced,tertiary,0,313,0,0,cellular,8,may,1,-1,0,,12:01:30,12:04:58,0
173,47,management,single,tertiary,0,324,0,1,cellular,6,aug,1,-1,0,,17:49:20,17:50:32,0
174,36,technician,married,tertiary,0,0,0,0,cellular,20,aug,1,-1,0,,16:19:46,16:23:51,0
175,34,blue-collar,married,primary,0,-1,1,0,cellular,18,may,6,355,1,other,16:38:47,16:56:24,1
176,57,admin.,married,secondary,0,169,0,0,cellular,3,feb,1,-1,0,,14:52:10,14:58:19,1
177,42,technician,married,tertiary,0,849,0,0,cellular,13,aug,2,-1,0,,17:36:15,17:42:58,0
178,38,unemployed,single,secondary,0,804,0,0,cellular,1,jun,1,-1,0,,09:35:49,09:53:56,1
179,53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,,16:45:50,16:53:40,1
180,36,services,divorced,secondary,0,532,1,0,cellular,29,jan,1,241,1,failure,12:15:33,12:22:04,0
181,35,self-employed,married,tertiary,0,3698,1,0,cellular,5,mar,1,-1,0,,14:45:43,14:47:29,1
182,39,blue-collar,married,primary,0,867,1,0,,7,may,1,-1,0,,13:50:07,13:58:08,0
183,36,services,married,secondary,0,-27,1,1,cellular,7,jul,4,-1,0,,12:12:43,12:15:14,0
184,58,admin.,married,secondary,0,145,1,0,telephone,29,jul,13,-1,0,,16:42:19,16:52:35,1
185,58,retired,married,secondary,0,32948,0,0,,29,may,2,-1,0,,16:28:24,16:34:28,0
186,32,management,single,tertiary,0,151,0,0,,23,may,2,-1,0,,16:50:53,16:52:44,0
187,50,technician,married,secondary,0,3176,0,0,cellular,7,aug,1,-1,0,,16:17:17,16:28:27,1
188,40,admin.,married,secondary,0,4775,0,0,cellular,15,sep,1,-1,0,,17:12:02,17:15:37,1
189,51,admin.,married,secondary,0,423,1,1,cellular,16,jul,5,183,2,failure,09:05:35,09:06:59,0
190,38,self-employed,single,tertiary,0,973,0,0,cellular,4,feb,1,-1,0,,13:14:53,13:17:11,0
191,41,student,single,secondary,0,595,1,0,,18,sep,1,107,2,success,14:43:39,14:44:01,0
192,29,services,single,secondary,0,695,0,0,,3,jul,1,-1,0,,17:19:13,17:20:50,0
193,31,management,single,tertiary,0,177,1,0,cellular,15,may,1,-1,0,,09:02:47,09:04:51,0
194,49,services,married,secondary,0,320,0,0,telephone,9,feb,4,-1,0,,09:10:02,09:42:53,1
195,46,unemployed,married,secondary,0,926,0,0,cellular,7,jul,5,-1,0,,13:15:00,13:21:25,1
196,37,management,married,secondary,0,5447,1,1,cellular,17,nov,1,-1,0,,11:44:02,12:13:51,1
197,38,admin.,married,secondary,0,755,1,0,cellular,17,feb,1,-1,0,,17:23:29,17:25:29,1
198,27,technician,single,tertiary,0,1075,0,0,cellular,2,mar,1,-1,0,,17:59:47,18:10:45,1
199,32,management,married,tertiary,0,2737,1,1,cellular,21,nov,4,182,1,failure,09:49:52,09:50:36,0
200,33,management,divorced,tertiary,0,-255,1,1,cellular,11,may,9,306,1,other,15:02:59,15:04:21,0
201,39,blue-collar,single,secondary,0,0,0,0,cellular,22,jul,4,-1,0,,17:26:53,17:41:17,1
202,36,technician,single,secondary,0,18,0,0,cellular,21,aug,2,-1,0,,13:18:30,13:19:37,0
203,45,management,divorced,secondary,0,644,1,0,cellular,19,nov,1,168,1,success,11:38:46,11:45:44,1
204,46,unemployed,married,tertiary,0,0,1,0,cellular,10,jul,1,-1,0,,10:56:53,10:58:18,0
205,27,services,single,tertiary,0,1501,1,0,cellular,24,jul,1,-1,0,,13:19:25,13:22:32,0
206,62,retired,married,secondary,0,816,0,0,cellular,1,sep,2,-1,0,,16:48:07,16:48:35,0
207,49,entrepreneur,divorced,secondary,0,2908,0,0,,6,jun,1,-1,0,,10:10:27,10:15:49,0
208,35,management,married,tertiary,0,451,1,0,cellular,17,apr,6,-1,0,,17:47:11,17:50:51,0
209,49,admin.,married,secondary,0,2116,0,0,cellular,8,aug,3,-1,0,,16:27:54,16:29:43,0
210,32,management,married,tertiary,0,2349,0,0,cellular,14,aug,5,-1,0,,12:43:41,12:45:55,0
211,26,blue-collar,single,tertiary,0,644,0,0,cellular,2,dec,1,-1,0,,10:43:38,10:49:24,1
212,28,student,single,secondary,0,2351,0,0,telephone,22,oct,1,-1,0,,15:30:48,15:33:25,1
213,60,self-employed,single,secondary,0,27,0,0,cellular,22,aug,2,-1,0,,17:26:48,17:27:28,0
214,37,management,married,tertiary,0,0,1,0,cellular,6,may,2,169,3,failure,16:46:09,16:47:33,0
215,56,management,married,tertiary,0,2333,0,0,cellular,4,may,1,-1,0,,13:39:42,13:43:46,1
216,35,student,single,secondary,0,188,1,0,cellular,16,feb,3,200,5,failure,16:02:26,16:03:41,1
217,51,admin.,married,secondary,0,241,0,0,cellular,7,dec,2,-1,0,,14:24:08,14:29:16,1
218,52,services,married,secondary,0,657,0,0,telephone,7,jul,2,460,2,failure,15:09:59,15:16:37,1
219,67,retired,married,secondary,0,203,0,0,cellular,11,oct,1,266,2,success,10:39:38,10:46:23,1
220,28,,single,secondary,0,4465,0,0,cellular,28,jan,1,-1,0,,14:03:50,14:16:39,1
221,38,admin.,divorced,secondary,0,19,1,0,,30,may,2,-1,0,,10:12:28,10:22:32,1
222,31,management,single,tertiary,0,924,0,0,cellular,5,jun,2,98,1,success,17:47:42,17:51:09,1
223,41,admin.,married,secondary,0,705,1,0,,13,may,1,-1,0,,13:57:46,14:01:11,0
224,52,management,married,primary,1,57,1,1,cellular,20,nov,1,196,1,failure,14:36:31,14:37:16,0
225,39,admin.,married,secondary,0,46,0,0,,3,jun,2,-1,0,,15:41:31,15:44:38,0
226,50,,married,,0,558,0,0,cellular,9,jul,1,683,6,failure,09:01:52,09:09:36,1
227,45,retired,married,primary,0,1152,0,0,,18,jun,2,-1,0,,09:04:14,09:08:08,0
228,41,blue-collar,married,secondary,0,114,1,0,,2,jun,3,-1,0,,12:14:56,12:16:18,0
229,47,admin.,married,primary,0,192,1,0,,7,may,1,-1,0,,09:40:26,09:41:13,0
230,61,admin.,married,,0,4629,1,0,cellular,27,jan,1,92,1,success,09:58:05,10:01:06,1
231,26,management,single,tertiary,0,362,0,0,cellular,15,sep,1,104,2,success,16:42:15,16:57:40,1
232,44,technician,divorced,secondary,0,1262,1,0,,26,may,11,-1,0,,09:45:11,09:58:19,1
233,61,management,married,tertiary,0,997,0,0,cellular,22,jun,1,104,1,success,14:41:44,14:46:13,1
234,28,management,single,tertiary,0,3611,0,0,cellular,26,feb,2,-1,0,,10:34:05,10:36:26,1
235,49,management,married,tertiary,0,403,0,0,cellular,31,jul,2,-1,0,,13:00:07,13:04:22,0
236,33,management,married,secondary,0,336,0,0,cellular,15,apr,3,-1,0,,15:29:42,15:32:41,1
237,37,unemployed,single,tertiary,0,1316,1,0,cellular,18,nov,1,172,2,failure,17:52:48,17:59:17,0
238,49,technician,divorced,tertiary,0,1807,1,0,cellular,12,mar,1,-1,0,,15:11:11,15:15:00,1
239,25,entrepreneur,single,tertiary,0,140,1,0,cellular,7,may,1,-1,0,,09:20:26,09:26:14,0
240,60,retired,married,tertiary,0,3461,0,0,cellular,26,may,2,112,2,failure,10:05:02,10:06:36,0
241,37,technician,single,secondary,0,6714,1,0,,23,may,1,-1,0,,10:30:30,10:32:00,0
242,29,self-employed,single,tertiary,0,814,0,0,,13,aug,1,-1,0,,17:39:10,17:46:51,1
243,45,blue-collar,married,secondary,0,7895,1,0,cellular,4,feb,1,-1,0,,17:26:24,17:40:56,1
244,28,blue-collar,single,secondary,0,3430,1,0,,6,jun,6,-1,0,,14:12:36,14:13:48,0
245,75,self-employed,married,,0,4984,0,0,telephone,28,oct,1,-1,0,,11:44:56,11:53:25,1
246,42,management,married,,0,1519,0,0,cellular,19,jul,1,-1,0,,14:05:15,14:09:43,1
247,32,management,single,tertiary,0,2551,1,0,cellular,21,jul,3,-1,0,,15:16:01,15:26:39,1
248,54,management,married,tertiary,0,1623,0,0,cellular,31,jul,8,-1,0,,12:38:15,12:38:40,0
249,31,technician,married,tertiary,0,1197,1,0,,24,jun,3,-1,0,,17:29:38,17:35:29,0
250,52,retired,married,secondary,0,1956,0,0,,6,jun,2,-1,0,,09:40:37,09:47:01,0
251,35,technician,single,tertiary,0,147,0,0,cellular,21,aug,2,-1,0,,15:04:04,15:06:18,0
252,29,blue-collar,married,secondary,0,0,1,0,cellular,11,may,6,-1,0,,17:55:03,17:56:59,0
253,36,admin.,divorced,secondary,0,-37,1,0,,27,may,1,-1,0,,13:41:52,13:44:23,0
254,58,retired,divorced,secondary,0,1080,1,0,cellular,29,jul,2,-1,0,,17:09:05,17:26:43,1
255,36,blue-collar,married,,0,722,1,0,,20,may,2,-1,0,,12:32:20,12:36:48,0
256,34,blue-collar,married,secondary,0,262,0,0,cellular,1,jun,1,-1,0,,10:55:33,11:01:12,1
257,36,technician,married,tertiary,0,4596,1,0,cellular,8,oct,2,175,2,success,16:38:16,16:42:10,1
258,31,management,single,tertiary,0,147,0,0,cellular,9,jun,2,92,3,success,15:32:53,15:35:36,1
259,29,entrepreneur,married,secondary,0,291,1,0,,2,jun,3,-1,0,,11:23:42,11:27:07,0
260,38,unemployed,married,tertiary,0,2812,1,0,cellular,30,apr,1,-1,0,,16:41:59,16:55:49,1
261,59,management,divorced,tertiary,0,258,1,0,telephone,29,oct,1,-1,0,,16:51:54,16:56:20,1
